SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1996-01-13,08:10:00,810,1,13.0,1996,orcas,nan,W,7,215,48.5324,-122.7422,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-13,10:30:00,1030,1,13.0,1996,orcas,nan,,7,188,48.5386,-122.9544,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1996-01-13,11:15:00,1115,1,13.0,1996,orcas,nan,,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-18,12:31:00,1231,1,18.0,1996,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-01-19,08:30:00,830,1,19.0,1996,orcas,nan,N,6,222,48.4068,-122.6927,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-19,16:15:00,1615,1,19.0,1996,orcas,nan,W,7,199,48.6714,-122.6801,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-27,09:00:00,900,1,27.0,1996,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-27,10:45:00,1045,1,27.0,1996,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-01-30,16:30:00,1630,1,30.0,1996,orcas,nan,S,7,170,48.6562,-123.243,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-01-30,16:45:00,1645,1,30.0,1996,orcas,nan,S,7,214,48.5248,-122.6544,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1996-01-31,09:45:00,945,1,31.0,1996,j,nan,S,11,414,47.5093,-122.4054,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-01-31,12:45:00,1245,1,31.0,1996,j,nan,S,11,419,47.3567,-122.3476,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-01-31,14:00:00,1400,1,31.0,1996,j,nan,S then E,11,422,47.2995,-122.5334,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-01-31,17:30:00,1730,1,31.0,1996,j,nan,N,11,419,47.3567,-122.3476,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-01,14:02:00,1402,2,1.0,1996,j,nan,W,9,388,48.1374,-122.6386,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-04,10:30:00,1030,2,4.0,1996,j,nan,S,10,410,47.5995,-122.4367,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-04,12:00:00,1200,2,4.0,1996,j,nan,S,11,414,47.5093,-122.4054,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-04,12:25:00,1225,2,4.0,1996,orcas,nan,S,10,413,47.5533,-122.4188,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-02-04,12:45:00,1245,2,4.0,1996,j,nan,S,11,419,47.3567,-122.3476,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-04,16:30:00,1630,2,4.0,1996,orcas,nan,W,11,420,47.3387,-122.4451,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-02-04,16:30:00,1630,2,4.0,1996,j,nan,W,11,422,47.2995,-122.5334,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-08,08:30:00,830,2,8.0,1996,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1996-02-12,07:45:00,745,2,12.0,1996,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-02-14,15:50:00,1550,2,14.0,1996,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1996-02-17,14:30:00,1430,2,17.0,1996,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1996-02-17,14:30:00,1430,2,17.0,1996,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
