day,mon,year,netlen,catch1,sets1,effort1,cpue1,catch2,sets2,effort2,cpue2
20,Apr,2025,200,1,2,"14,100",0.07,0,0,0,0
21,Apr,2025,200,0,2,"14,100",0.00,0,0,0,0
22,Apr,2025,200,0,2,"15,100",0.00,0,0,0,0
23,Apr,2025,200,0,2,"15,300",0.00,0,0,0,0
24,Apr,2025,200,0,2,"15,100",0.00,0,0,0,0
25,Apr,2025,200,0,2,"15,400",0.00,0,0,0,0
26,Apr,2025,200,0,2,"12,200",0.00,0,0,0,0
27,Apr,2025,200,0,2,"14,500",0.00,0,0,0,0
28,Apr,2025,200,0,2,"9,000",0.00,0,0,0,0
29,Apr,2025,200,0,2,"15,200",0.00,0,0,0,0
30,Apr,2025,200,0,2,"12,900",0.00,0,0,0,0
01,May,2025,200,1,2,"15,100",0.07,0,0,0,0
02,May,2025,200,0,2,"15,200",0.00,0,0,0,0
03,May,2025,200,0,2,"14,200",0.00,0,0,0,0
04,May,2025,200,1,2,"13,000",0.08,0,0,0,0
05,May,2025,200,0,2,"12,300",0.00,0,0,0,0
06,May,2025,200,0,2,"12,400",0.00,0,0,0,0
07,May,2025,200,0,2,"11,100",0.00,0,0,0,0
08,May,2025,200,0,2,"12,900",0.00,0,0,0,0
09,May,2025,200,0,2,"12,900",0.00,0,0,0,0
10,May,2025,200,0,2,"15,300",0.00,0,0,0,0
11,May,2025,200,0,2,"15,500",0.00,0,0,0,0
12,May,2025,200,0,2,"16,500",0.00,0,0,0,0
13,May,2025,200,0,2,"15,300",0.00,0,0,0,0
14,May,2025,200,0,2,"12,600",0.00,0,0,0,0
15,May,2025,200,0,2,"13,100",0.00,0,0,0,0
16,May,2025,200,0,2,"12,900",0.00,0,0,0,0
17,May,2025,200,0,2,"12,400",0.00,0,0,0,0
18,May,2025,200,0,2,"11,900",0.00,0,0,0,0
19,May,2025,200,0,2,"11,800",0.00,0,0,0,0
20,May,2025,200,0,2,"12,600",0.00,0,0,0,0
21,May,2025,200,0,2,"10,900",0.00,0,0,0,0
22,May,2025,200,0,2,"11,100",0.00,0,0,0,0
23,May,2025,200,1,2,"11,200",0.09,0,0,0,0
24,May,2025,200,2,2,"13,100",0.15,0,0,0,0
25,May,2025,200,0,2,"15,000",0.00,0,0,0,0
26,May,2025,200,0,2,"15,000",0.00,0,0,0,0
27,May,2025,200,1,2,"14,900",0.07,0,0,0,0
28,May,2025,200,1,2,"13,400",0.07,0,0,0,0
29,May,2025,200,0,2,"16,500",0.00,0,0,0,0
30,May,2025,200,0,2,"12,500",0.00,0,0,0,0
31,May,2025,200,0,2,"12,300",0.00,0,0,0,0
01,Jun,2025,200,0,2,"11,700",0.00,0,0,0,0
02,Jun,2025,200,0,2,"11,900",0.00,0,0,0,0
03,Jun,2025,200,0,2,"11,200",0.00,0,0,0,0
04,Jun,2025,200,0,2,"11,600",0.00,0,0,0,0
05,Jun,2025,200,0,2,"11,700",0.00,0,0,0,0
06,Jun,2025,200,0,2,"11,700",0.00,0,0,0,0
07,Jun,2025,200,1,2,"12,000",0.08,0,0,0,0
08,Jun,2025,200,0,2,"11,300",0.00,0,0,0,0
09,Jun,2025,200,1,2,"11,800",0.08,0,0,0,0
10,Jun,2025,200,0,2,"11,500",0.00,0,0,0,0
11,Jun,2025,200,0,2,"11,500",0.00,0,0,0,0
12,Jun,2025,200,0,2,"11,700",0.00,0,0,0,0
13,Jun,2025,200,0,2,"12,500",0.00,0,0,0,0
14,Jun,2025,200,1,2,"13,800",0.07,0,0,0,0
15,Jun,2025,200,0,2,"10,100",0.00,0,0,0,0
