Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2025-01-01,,,,13,6,,-1,,,,,,,
Bonneville,2025-01-02,,,,8,4,,,,,,,,,
Bonneville,2025-01-03,,,,3,2,,-1,,,,,,,
Bonneville,2025-01-04,,,,7,5,,,,,,,,,
Bonneville,2025-01-05,,,,14,7,,,,,,,,,
Bonneville,2025-01-06,,,,15,7,,,,,,,,,
Bonneville,2025-01-07,,,,14,8,,,,,,,,,
Bonneville,2025-01-08,,,,5,4,,,,,,,,,
Bonneville,2025-01-09,,,,13,10,,-1,,,,,,,
Bonneville,2025-01-10,,,,3,-2,,,,,,,,,
Bonneville,2025-01-11,,,,2,-1,,,,,,,,,
Bonneville,2025-01-12,,,,9,2,,,,,,,,,
Bonneville,2025-01-13,,,,13,8,,,,,,,,,
Bonneville,2025-01-14,,,,13,7,,,,,,,,,
Bonneville,2025-01-15,,,,-1,-1,,,,,,,,,
Bonneville,2025-01-16,,,,8,6,,,-1,,,,,,
Bonneville,2025-01-17,,,,7,4,,,,,,,,,
Bonneville,2025-01-18,,,,6,2,,,,,,,,,
Bonneville,2025-01-19,,,,1,,,,,,,,,,
Bonneville,2025-01-20,,,,1,1,,,,,,,,,
Bonneville,2025-01-21,,,,4,2,,-1,,,,,,,
Bonneville,2025-01-22,,,,3,3,,,,,,,,,
Bonneville,2025-01-23,,,,4,4,,,,,,,,,
Bonneville,2025-01-24,,,,1,1,,,,,,,,,
Bonneville,2025-01-25,,,,,,,,,,,,,,
Bonneville,2025-01-26,,,,2,2,,,,,,,,,
Bonneville,2025-01-27,,,,3,1,,,,,,,,,
Bonneville,2025-01-28,,,,1,1,,,,,,,,,
Bonneville,2025-01-29,,,,2,,,,,,,,,,
Bonneville,2025-01-30,,,,4,4,,,,,,,,,
Bonneville,2025-01-31,,,,1,1,,-1,,,,,,,
Bonneville,2025-02-01,,,,2,1,,,,,,,,,
Bonneville,2025-02-02,,,,2,1,,,,,-1,,,,
Bonneville,2025-02-03,,,,4,3,,,,,,,,,
Bonneville,2025-02-04,,,,2,3,,,,,,,,,
Bonneville,2025-02-05,,,,1,,,-1,,,,,,,
Bonneville,2025-02-06,,,,9,7,,,,,,,,,
Bonneville,2025-02-07,,,,1,,,,,,,,,,
Bonneville,2025-02-08,,,,2,1,,,,,,,,,
Bonneville,2025-02-09,,,,2,2,,,,,,,,,
Bonneville,2025-02-10,,,,-1,-1,,,,,,,,,
Bonneville,2025-02-11,,,,2,2,,,,,,,,,
Bonneville,2025-02-12,,,,,-1,,,,,,,,,
Bonneville,2025-02-13,,,,-1,-1,,,,,,,,,
Bonneville,2025-02-14,,,,1,,,,,,,,,,
Bonneville,2025-02-15,,,,-2,-1,,,,,,,,,
Bonneville,2025-02-16,,,,3,2,,,,,,,,,
Bonneville,2025-02-17,,,,,,,,,,,,,,
Bonneville,2025-02-18,,,,1,1,,,,,,,,,
Bonneville,2025-02-19,,,,1,1,,,,,,,,,
Bonneville,2025-02-20,,,,3,3,,,,,,,,,
Bonneville,2025-02-21,,,,9,7,,,,,,,,,
Bonneville,2025-02-22,,,,1,1,,,,,,,,,
Bonneville,2025-02-23,,,,11,8,,,,,,,,,
Bonneville,2025-02-24,,,,8,7,,,,,,,,,
Bonneville,2025-02-25,,,,-2,1,,,,,,,,,
Bonneville,2025-02-26,,,,3,2,,,,,,,,,
Bonneville,2025-02-27,,,,5,2,,,,,,,,,
Bonneville,2025-02-28,,,,5,2,,,,,,,,,
Bonneville,2025-03-01,,,,,-1,,,,,,,,,
Bonneville,2025-03-02,,,,3,2,,,,,,,,,
Bonneville,2025-03-03,,,,1,-2,,,,,,,,,
Bonneville,2025-03-04,,,,7,3,,,,,,,,,
Bonneville,2025-03-05,,,,11,6,,,,,,,,,
Bonneville,2025-03-06,,,,25,18,,,,,,,,,
Bonneville,2025-03-07,,,,20,16,,,,,,,,,
Bonneville,2025-03-08,,,,22,16,,,,,,,,,
Bonneville,2025-03-09,,,,31,29,,,,,,,,,
Bonneville,2025-03-10,,,,38,29,,,,,,,,,
Bonneville,2025-03-11,,,,24,20,,,,,,,,,
Bonneville,2025-03-12,,,1,10,8,,,,,,,,,
Bonneville,2025-03-13,,,,16,10,,,,,,,,,
Bonneville,2025-03-14,,,1,25,20,,,,,,,,,6
Bonneville,2025-03-15,Sp,1,,15,13,,,,,,,,,6.1
Bonneville,2025-03-16,Sp,1,,13,8,,,,,,,,,6.2
Bonneville,2025-03-17,Sp,,1,17,12,,,,,,,,,6.3
Bonneville,2025-03-18,Sp,,,29,24,,,,,,,,,6.5
Bonneville,2025-03-19,Sp,2,,12,11,,,,,,,,,6.7
Bonneville,2025-03-20,Sp,,,12,8,,,,,,,,,6.7
Bonneville,2025-03-21,Sp,,,12,10,,,,,,,,,6.8
Bonneville,2025-03-22,Sp,4,,32,21,,,,,,,,,6.9
Bonneville,2025-03-23,Sp,1,,19,17,,,,,,,,,7.1
Bonneville,2025-03-24,Sp,2,1,21,18,,,,,,,,,7.4
Bonneville,2025-03-25,Sp,21,9,32,23,,,,,,,,,7.8
Bonneville,2025-03-26,Sp,18,3,28,18,,,,,,,,,8.2
Bonneville,2025-03-27,Sp,6,1,13,10,,,,,,,,,8.3
Bonneville,2025-03-28,Sp,29,,51,42,,,,,,,,,8.3
Bonneville,2025-03-29,Sp,25,5,17,15,,,,,,,,,8.5
Bonneville,2025-03-30,Sp,31,9,12,9,,,,,,,,,8.5
Bonneville,2025-03-31,Sp,29,6,8,6,,,,,,,,,8.6
Bonneville,2025-04-01,Sp,69,-1,25,18,,,,,,,,,8.6
Bonneville,2025-04-02,Sp,49,3,14,11,,,,,,,,,8.6
Bonneville,2025-04-03,Sp,52,2,24,20,,,,,,,,,8.8
Bonneville,2025-04-04,Sp,52,3,21,17,,,,,,,,,9
Bonneville,2025-04-05,Sp,53,3,16,8,,,,,,,,,9.1
Bonneville,2025-04-06,Sp,35,1,22,20,,,,,,,,,9.3
Bonneville,2025-04-07,Sp,41,3,5,3,,,,,,,,,9.3
Bonneville,2025-04-08,Sp,62,1,8,7,,,,,,,,,9.2
Bonneville,2025-04-09,Sp,128,3,19,13,,,,,,,,,9.2
Bonneville,2025-04-10,Sp,96,4,16,9,,,,,,,,,9.4
Bonneville,2025-04-11,Sp,191,5,17,11,,,,,,,,,9.7
Bonneville,2025-04-12,Sp,208,3,10,9,,,,,,,,,9.9
Bonneville,2025-04-13,Sp,130,2,20,14,,,,,,,,,9.9
Bonneville,2025-04-14,Sp,117,7,7,4,,,,,,,,,10.1
Bonneville,2025-04-15,Sp,164,7,9,1,,,,,,,,,10.5
Bonneville,2025-04-16,Sp,219,9,8,3,,,,,,,,,10.8
Bonneville,2025-04-17,Sp,431,16,11,6,,,,,,,,,10.9
Bonneville,2025-04-18,Sp,431,24,6,4,,,,,,,,,11
Bonneville,2025-04-19,Sp,536,21,6,,,,,,,,,,11
Bonneville,2025-04-20,Sp,858,22,9,3,,,,,,,,,10.8
Bonneville,2025-04-21,Sp,677,25,10,1,,,,,,,,,10.8
Bonneville,2025-04-22,Sp,1088,26,9,1,,,,,,,,,10.8
Bonneville,2025-04-23,Sp,1826,29,8,4,,,,,,,,,10.8
Bonneville,2025-04-24,Sp,1906,32,13,5,,,,,,,,,11
Bonneville,2025-04-25,Sp,2106,39,1,1,,,,,,,,,11.2
Bonneville,2025-04-26,Sp,3165,62,11,5,,,,,,,,,11.5
Bonneville,2025-04-27,Sp,3737,90,6,3,,,,,,,,,11.4
Bonneville,2025-04-28,Sp,2927,86,9,4,,,,,,,,,11.4
Bonneville,2025-04-29,Sp,2635,102,17,2,,,,,,,,,11.5
Bonneville,2025-04-30,Sp,4689,131,14,6,,,,,,,,,11.8
Bonneville,2025-05-01,Sp,4182,146,12,6,,,,,,,,,12.1
Bonneville,2025-05-02,Sp,5085,159,11,6,,,,,,,,,12.5
Bonneville,2025-05-03,Sp,7706,313,9,3,,,,,,,,,12.6
Bonneville,2025-05-04,Sp,6975,502,9,5,,,,,,,,,12.5
Bonneville,2025-05-05,Sp,5481,355,14,5,,,,,,,,,12.4
Bonneville,2025-05-06,Sp,5287,507,10,4,,,,,,,,,12.7
Bonneville,2025-05-07,Sp,6690,700,21,9,,,,3,1,,,,13
Bonneville,2025-05-08,Sp,5804,932,16,6,,,,,,,,,13.2
Bonneville,2025-05-09,Sp,4579,608,13,4,,,,26,1,,,,13.4
Bonneville,2025-05-10,Sp,4275,658,17,9,,,,203,,,,,13.3
Bonneville,2025-05-11,Sp,2958,501,22,13,,,,150,2,,,,13.3
Notes:
Columbia River DART
2025 Adult Passage Daily Counts at Bonneville
1/1/2025 - 05/11/2025
Generated 12 May 2025 17:37:46 PDT. DART Adult Passage Daily Counts www.cbr.washington.edu/dart/query/adult_daily.
Last Date 2025-05-11. Last possible Data Date is 05/11/2025.
